model,best_epoch,best_val_loss_norm,best_val_loss_raw,val_mse_patch,test_mse_raw,test_mae_raw,test_mse_patch,test_mae_patch,test_mse_ot_patch,test_mae_ot_patch,test_mse_ot_raw,test_mae_ot_raw,test_mse_norm,test_mae_norm,best_val_loss_norm_std,best_val_loss_raw_std,val_mse_patch_std,test_mse_raw_std,test_mae_raw_std,test_mse_patch_std,test_mae_patch_std,test_mse_ot_patch_std,test_mae_ot_patch_std,test_mse_ot_raw_std,test_mae_ot_raw_std,test_mse_norm_std,test_mae_norm_std
Train Mean,0,5.247024059295654,0.20536388456821442,0.20536388456821442,0.27538174390792847,0.34388819336891174,0.27538174390792847,0.34388819336891174,0.1719711422920227,0.32489994168281555,23.063684463500977,3.7625837326049805,87.40771484375,1.2208119630813599,,,,,,,,,,,,,
YOLO11 Forecast,3,4.728261788686116,0.12456992268562317,0.12456992268562317,0.16913255055745444,0.2555581529935201,0.16913255055745444,0.2555581529935201,0.0752838005622228,0.20474848647912344,10.096588134765625,2.3711403210957847,87.00132497151692,1.0275242328643799,0.002791093612306394,0.0016185548487652733,0.0016185548487652733,0.0008031807249063925,0.0006938002778821286,0.0008031807249063925,0.0006938002778821286,0.0004909446554564273,0.0008536769929409131,0.06584270417277,0.009886212954236528,0.06662105849131632,0.0014025050716424832
Linear (Direct),2,4.69135046005249,0.11812870452801387,0.11812870452801387,0.17204353213310242,0.2595386902491252,0.17204353213310242,0.2595386902491252,0.07120629400014877,0.20073789854844412,9.549739519755045,2.324694792429606,86.96438852945964,1.0346906979878743,0.00028400686940421844,4.1092219226646716e-05,4.1092219226646716e-05,0.00017539352308657222,2.409694641367436e-05,0.00017539352308657222,2.409694641367436e-05,4.075200473768393e-05,0.00010177395959823131,0.0054660273820013846,0.0011786463913739372,0.00026298980246571886,9.482069718576367e-05
PatchTST (Supervised),9,0.11949402342240016,0.11949402342240016,0.11949401845534642,0.16679468750953674,0.2562638819217682,0.16679468750953674,0.2562638819217682,0.07333617409070332,0.20402715603510538,9.835384686787924,2.3627867698669434,0.16679468750953674,0.2562638819217682,0.0006535380002224155,0.0006535380002224155,0.0006535418831890298,0.0011765164571688085,0.0013760182858483319,0.0011765164571688085,0.0013760182858483319,0.00129868509301306,0.002396162502186934,0.17417132227372692,0.0277493229557306,0.0011765164571688085,0.0013760182858483319
v5 - Shape-Aware Loss,5,4.821558316548665,0.1317735562721888,0.1317735562721888,0.1815720945596695,0.26772014300028485,0.1815720945596695,0.26772014300028485,0.09023774415254593,0.22539671758810678,12.102116584777832,2.610262314478556,86.94066619873047,1.0576773484547932,0.01149384722847278,0.0011775002544516522,0.0011775002544516522,0.0018784549593236768,0.00140810680696418,0.0018784549593236768,0.00140810680696418,0.0021719850243079896,0.002946399677948313,0.2912924421894257,0.034121450659699556,0.015707702366945516,0.004419212122974376
v6 - Temporal Gating,6,4.674947738647461,0.11579638471206029,0.11579638471206029,0.16612829267978668,0.25391409794489544,0.16612829267978668,0.25391409794489544,0.06982548038164775,0.19827559093634287,9.364553133646647,2.2961793740590415,86.87132008870442,1.02163827419281,0.002239768748318767,0.00033517067365309265,0.00033517067365309265,0.001045145496188204,0.0006342663555018332,0.001045145496188204,0.0006342663555018332,0.0005621533808136778,0.0007509592830489462,0.07539191717717647,0.008696631119877575,0.010237926060415051,0.0014813801174986601
