model,best_epoch,best_val_loss_norm,best_val_loss_raw,val_mse_patch,test_mse_raw,test_mae_raw,test_mse_patch,test_mae_patch,test_mse_ot_patch,test_mae_ot_patch,test_mse_ot_raw,test_mae_ot_raw,test_mse_norm,test_mae_norm,best_val_loss_norm_std,best_val_loss_raw_std,val_mse_patch_std,test_mse_raw_std,test_mae_raw_std,test_mse_patch_std,test_mae_patch_std,test_mse_ot_patch_std,test_mae_ot_patch_std,test_mse_ot_raw_std,test_mae_ot_raw_std,test_mse_norm_std,test_mae_norm_std
Train Mean,0,4.72825288772583,0.3452692925930023,0.3452692925930023,0.3065756857395172,0.4157068133354187,0.3065756857395172,0.4157068133354187,0.3238239586353302,0.4610256850719452,0.0029409672133624554,0.043935514986515045,4.472418308258057,1.6145871877670288,,,,,,,,,,,,,
YOLO11 Forecast,1,2.037763476371765,0.1394424388806025,0.1394424388806025,0.0869819422562917,0.2064342349767685,0.0869819422562917,0.2064342349767685,0.08983448892831802,0.22340571383635202,0.0008158763327325383,0.021290451288223267,2.053957939147949,0.8960871497790018,0.054964088341302994,0.0023288688258401215,0.0023288688258401215,0.0012735047165679935,0.001558262534849483,0.0012735047165679935,0.001558262534849483,0.0016311270406313082,0.0005388813363414493,1.4813886178420183e-05,5.135448358799106e-05,0.019227529814919746,0.00511958117461945
Linear (Direct),12,1.9590205748875935,0.13578329483668009,0.13578329483668009,0.08698336780071259,0.2045487811168035,0.08698336780071259,0.2045487811168035,0.0924841711918513,0.22493776679039001,0.0008399407185303668,0.021436456590890884,2.0033839543660483,0.8784071207046509,0.0007135640399801745,0.00043140117424620756,0.00043140117424620756,0.0002283432939693631,0.00031141202201443737,0.0002283432939693631,0.00031141202201443737,0.0002549980231941452,0.0003819189340663212,2.31587976609072e-06,3.639652683596501e-05,0.002904914153644625,0.0009683905437177332
PatchTST (Supervised),1,0.16424437363942465,0.16424437363942465,0.16424437363942465,0.16091981530189514,0.2470358262459437,0.16091981530189514,0.2470358262459437,0.10035642981529236,0.23688335716724396,0.0009114365287435552,0.02257486619055271,0.16091981530189514,0.2470358262459437,0.007346765667271788,0.007346765667271788,0.007346765667271788,0.019691230976245016,0.00638257948680493,0.019691230976245016,0.00638257948680493,0.004097673505718088,0.005716504972022372,3.721503512161495e-05,0.0005447805907381907,0.019691230976245016,0.00638257948680493
v5 - Shape-Aware Loss,1,1.9515304962793987,0.12701058884461722,0.12701058884461722,0.08360926310221355,0.20015100638071695,0.08360926310221355,0.20015100638071695,0.08997782816489537,0.22197254498799643,0.0008171780694586536,0.021153871590892475,1.9803602695465088,0.8668598135312399,0.003114493279464196,0.0001480063271240163,0.0001480063271240163,8.475664613090205e-05,0.00021862824803809216,8.475664613090205e-05,0.00021862824803809216,0.00047822741321079855,0.00038402635077000694,4.343262416249586e-06,3.659966232193073e-05,0.0021544016283595326,0.0018247670315030388
v6 - Temporal Gating,1,1.9444578091303508,0.12903482218583426,0.12903482218583426,0.08528355757395427,0.202617680033048,0.08528355757395427,0.202617680033048,0.09212187677621841,0.22465032835801443,0.0008366503364716967,0.021409063910444576,1.979777216911316,0.875056266784668,0.006164875237453738,8.683314998463474e-05,8.683314998463474e-05,0.00036463713319583214,0.00021575605110271177,0.00036463713319583214,0.00021575605110271177,0.00035097271053494584,6.093498759738531e-05,3.1875339538103837e-06,5.80685260647352e-06,0.0034501059888826465,0.0008111851087903161
