model,best_epoch,best_val_loss_norm,best_val_loss_raw,val_mse_patch,test_mse_raw,test_mae_raw,test_mse_patch,test_mae_patch,test_mse_ot_patch,test_mae_ot_patch,test_mse_ot_raw,test_mae_ot_raw,test_mse_norm,test_mae_norm,best_val_loss_norm_std,best_val_loss_raw_std,val_mse_patch_std,test_mse_raw_std,test_mae_raw_std,test_mse_patch_std,test_mae_patch_std,test_mse_ot_patch_std,test_mae_ot_patch_std,test_mse_ot_raw_std,test_mae_ot_raw_std,test_mse_norm_std,test_mae_norm_std
Train Mean,0,2.664128303527832,0.47554388642311096,0.47554388642311096,0.3929155766963959,0.42839670181274414,0.3929155766963959,0.42839670181274414,0.2645185589790344,0.42708566784858704,35.49990463256836,4.947668075561523,2.612060070037842,1.1071839332580566,,,,,,,,,,,,,
YOLO11 Forecast,31,2.58327309290568,0.408663938442866,0.408663938442866,0.5526666641235352,0.474421888589859,0.5526666641235352,0.474421888589859,0.2604789038499196,0.4159584939479828,34.957763671875,4.818762302398682,10.03861665725708,1.3542519013086955,0.08930090818884479,0.0038064696687450583,0.0038064696687450583,0.03203858290763721,0.005044132883731576,0.03203858290763721,0.005044132883731576,0.00349665934725949,0.0026880495617758356,0.469272743036604,0.03114017966436151,3.4652805055435865,0.057859200615883226
Linear (Direct),50,2.390048106511434,0.36762473980585736,0.36762473980585736,0.4204421043395996,0.4368396997451782,0.4204421043395996,0.4368396997451782,0.20509507755438486,0.36194608608881634,27.524933497111004,4.193044185638428,2.6707292397816977,1.1181631485621135,0.0002019787055109908,7.918232845843217e-05,7.918232845843217e-05,9.716422789860455e-05,0.00014920479848060353,9.716422789860455e-05,0.00014920479848060353,0.00014531043625538647,0.00015463501685808806,0.019501545374558654,0.0017913756013011155,0.0007840972289737182,0.000404919691207956
PatchTST (Supervised),10,0.3565357228120168,0.3565357228120168,0.35653574268023175,0.38798287510871887,0.4144377609093984,0.38798287510871887,0.4144377609093984,0.19990308582782745,0.36318492889404297,26.82814089457194,4.207395712534587,0.38798287510871887,0.4144377609093984,0.001580265706994577,0.001580265706994577,0.0015802582123111198,0.0073570495085519575,0.0037439096192813403,0.0073570495085519575,0.0037439096192813403,0.0021674370124387427,0.001284479907521502,0.2908839794524001,0.014880340354691294,0.0073570495085519575,0.0037439096192813403
v5 - Shape-Aware Loss,35,3.3389960130055747,0.440962811311086,0.440962811311086,0.5730200012524923,0.4711018403371175,0.5730200012524923,0.4711018403371175,0.27232980728149414,0.4232627848784129,36.54822031656901,4.903380552927653,9.369634946187338,1.2767646710077922,0.2976379165433548,0.013847057117735888,0.013847057117735888,0.03514434561410497,0.007633355886843454,0.03514434561410497,0.007633355886843454,0.0086172380992737,0.0058429586383419016,1.156483457324224,0.06768905443854537,2.4134015752198943,0.02892809403661903
v6 - Temporal Gating,20,2.4877982934316,0.37396787603696185,0.37396787603696185,0.4477887749671936,0.4498489002386729,0.4477887749671936,0.4498489002386729,0.1971814880768458,0.35564560691515607,26.462887446085613,4.120054880777995,3.6742705504099527,1.1990679502487183,0.03430728514797732,0.0035743594106909865,0.0035743594106909865,0.01916523203755043,0.006709614475228372,0.01916523203755043,0.006709614475228372,0.0008542322703682384,0.0005967361266514193,0.11464028969992002,0.006913310169391656,0.46184421550954163,0.0314794203348651
