model,best_epoch,best_val_loss_norm,best_val_loss_raw,val_mse_patch,test_mse_raw,test_mae_raw,test_mse_patch,test_mae_patch,test_mse_ot_patch,test_mae_ot_patch,test_mse_ot_raw,test_mae_ot_raw,test_mse_norm,test_mae_norm,best_val_loss_norm_std,best_val_loss_raw_std,val_mse_patch_std,test_mse_raw_std,test_mae_raw_std,test_mse_patch_std,test_mae_patch_std,test_mse_ot_patch_std,test_mae_ot_patch_std,test_mse_ot_raw_std,test_mae_ot_raw_std,test_mse_norm_std,test_mae_norm_std
Train Mean,0,3.475782871246338,1.6258851289749146,1.6258851289749146,0.7059434652328491,0.57915860414505,0.7059434652328491,0.57915860414505,0.08426706492900848,0.23007982969284058,7.095959186553955,2.11132550239563,1.436833143234253,0.9011635184288025,,,,,,,,,,,,,
YOLO11 Forecast,3,3.117249011993408,1.3221608638763427,1.3221608638763427,0.5330675780773163,0.49896431565284727,0.5330675780773163,0.49896431565284727,0.08969944268465042,0.23482666015625,7.553408908843994,2.1548847198486327,1.3023618698120116,0.8232258081436157,0.058085082290658695,0.05477546978622551,0.05477546978622551,0.020894635210102003,0.010198566034910197,0.020894635210102003,0.010198566034910197,0.005342192818888583,0.006717703260889211,0.44985502615459344,0.06164485846822357,0.037841183341256884,0.014852257239570881
Linear (Direct),15,3.006960868835449,1.161002278327942,1.161002278327942,0.43725576996803284,0.43427730202674864,0.43725576996803284,0.43427730202674864,0.0786308541893959,0.22141630649566652,6.621345329284668,2.0318246841430665,1.087965726852417,0.7277044773101806,0.00015425405691462727,0.0003581244121036172,0.0003581244121036172,0.00014662111906505124,0.00027263902296938977,0.00014662111906505124,0.00027263902296938977,0.00010704610616414152,0.00018451343684650556,0.00901375165506843,0.001693118332621171,0.000533057867235938,0.00033912715471655163
PatchTST (Supervised),14,1.1599180221557617,1.1599180221557617,1.1599180221557617,0.43749361038208007,0.4389201045036316,0.43749361038208007,0.4389201045036316,0.07860885262489319,0.22129489183425904,6.619492721557617,2.030710506439209,0.43749361038208007,0.4389201045036316,0.008699371279458998,0.008699371279458998,0.008699371279458998,0.0053707248526504315,0.004455550870853375,0.0053707248526504315,0.004455550870853375,0.00047469165066221016,0.0006720776516545854,0.03997283642111063,0.006167327450929991,0.0053707248526504315,0.004455550870853375
v5 - Shape-Aware Loss,4,3.160893106460571,1.3140671730041504,1.3140671730041504,0.5178646087646485,0.49443280696868896,0.5178646087646485,0.49443280696868896,0.08841165006160737,0.23465290367603303,7.4449666976928714,2.1532902240753176,1.2775813341140747,0.8181521534919739,0.023010548521763374,0.020411533072777332,0.020411533072777332,0.010610762678883041,0.005602955518352254,0.010610762678883041,0.005602955518352254,0.00633535094551163,0.00820243767998336,0.5334871305192714,0.07526962110332043,0.02984816267631097,0.010652192522317196
v6 - Temporal Gating,1,3.000044345855713,1.1532306432724,1.1532306432724,0.4363337755203247,0.43351857662200927,0.4363337755203247,0.43351857662200927,0.07708224505186081,0.2191542387008667,6.490940284729004,2.0110668182373046,1.082667875289917,0.7260659337043762,0.0022339965744525825,0.004243411067762535,0.004243411067762535,0.0006903784064417709,0.0005294434668021333,0.0006903784064417709,0.0005294434668021333,0.00039937386876093327,0.0006124843951760117,0.033630045198366876,0.005620459230236763,0.0016707153828937852,0.0008022383921452526
