model,best_epoch,best_val_loss_norm,best_val_loss_raw,val_mse_patch,test_mse_raw,test_mae_raw,test_mse_patch,test_mae_patch,test_mse_ot_patch,test_mae_ot_patch,test_mse_ot_raw,test_mae_ot_raw,test_mse_norm,test_mae_norm,best_val_loss_norm_std,best_val_loss_raw_std,val_mse_patch_std,test_mse_raw_std,test_mae_raw_std,test_mse_patch_std,test_mae_patch_std,test_mse_ot_patch_std,test_mae_ot_patch_std,test_mse_ot_raw_std,test_mae_ot_raw_std,test_mse_norm_std,test_mae_norm_std
Train Mean,0,3.475782871246338,1.6258851289749146,1.6258851289749146,0.7059434652328491,0.57915860414505,0.7059434652328491,0.57915860414505,0.08426706492900848,0.23007982969284058,7.095959186553955,2.11132550239563,1.436833143234253,0.9011635184288025,,,,,,,,,,,,,
YOLO11 Forecast,1,3.0750440756479898,1.3009144862492878,1.3009144862492878,0.5298475921154022,0.4989324708779653,0.5298475921154022,0.4989324708779653,0.08665004372596741,0.23116905490557352,7.296625137329102,2.1213207244873047,1.2926102479298909,0.821508506933848,0.040495694203686705,0.027171925139741582,0.027171925139741582,0.025584239222254015,0.011426493787323673,0.025584239222254015,0.011426493787323673,0.000279145571316863,0.0012702784913695404,0.023506303676238696,0.01165657065700433,0.026218251007164312,0.011985544753003397
PatchTST (Supervised),15,1.1620059410730998,1.1620059410730998,1.1620059410730998,0.4377061426639557,0.43905988335609436,0.4377061426639557,0.43905988335609436,0.0789678618311882,0.22185773650805155,6.649724801381429,2.03587539990743,0.4377061426639557,0.43905988335609436,0.008442325650461689,0.008442325650461689,0.008442325650461689,0.005305350657063839,0.0050085896947767924,0.005305350657063839,0.0050085896947767924,0.0007712100296074117,0.0011679360631712478,0.06494168039476374,0.010717501612485397,0.005305350657063839,0.0050085896947767924
v2 - Backbone + Neck,11,3.1935602029164634,1.3484118382136028,1.3484118382136028,0.5587236086527506,0.5036545395851135,0.5587236086527506,0.5036545395851135,0.09660660475492477,0.24409147103627524,8.13504695892334,2.239903132120768,1.3447959423065186,0.8365056117375692,0.018277398582389377,0.0040018401856473,0.0040018401856473,0.025183448657599656,0.008483391624418074,0.025183448657599656,0.008483391624418074,0.0016966166004870067,0.002169125774692649,0.14286853915504596,0.019904947772255658,0.03328174059827425,0.0108894186686339
