model,best_epoch,best_val_loss_norm,best_val_loss_raw,val_mse_patch,test_mse_raw,test_mae_raw,test_mse_patch,test_mae_patch,test_mse_ot_patch,test_mae_ot_patch,test_mse_ot_raw,test_mae_ot_raw,test_mse_norm,test_mae_norm,best_val_loss_norm_std,best_val_loss_raw_std,val_mse_patch_std,test_mse_raw_std,test_mae_raw_std,test_mse_patch_std,test_mae_patch_std,test_mse_ot_patch_std,test_mae_ot_patch_std,test_mse_ot_raw_std,test_mae_ot_raw_std,test_mse_norm_std,test_mae_norm_std,dataset,band_split,run_kind,source_output_dir
YOLO11 Forecast,1,3.0750440756479898,1.3009144862492878,1.3009144862492878,0.5298475921154022,0.4989324708779653,0.5298475921154022,0.4989324708779653,0.08665004372596741,0.23116905490557352,7.296625137329102,2.1213207244873047,1.2926102479298909,0.821508506933848,0.040495694203686705,0.027171925139741582,0.027171925139741582,0.025584239222254015,0.011426493787323673,0.025584239222254015,0.011426493787323673,0.000279145571316863,0.0012702784913695404,0.023506303676238696,0.01165657065700433,0.026218251007164312,0.011985544753003397,etth1,5-25-70,reused_shared,C:\Starry's Stuff\Programming\ultralytics\yolo_tsf\_OUTPUTS\etth1_patchtst_M_w336_h336_band5-25-70_baseline_models-YOLO11-Forecast-PatchTST--Supervised-v2---Backbone---Neck_shared_reference
PatchTST (Supervised),15,1.1620059410730998,1.1620059410730998,1.1620059410730998,0.4377061426639557,0.43905988335609436,0.4377061426639557,0.43905988335609436,0.0789678618311882,0.22185773650805155,6.649724801381429,2.03587539990743,0.4377061426639557,0.43905988335609436,0.008442325650461689,0.008442325650461689,0.008442325650461689,0.005305350657063839,0.0050085896947767924,0.005305350657063839,0.0050085896947767924,0.0007712100296074117,0.0011679360631712478,0.06494168039476374,0.010717501612485397,0.005305350657063839,0.0050085896947767924,etth1,5-25-70,reused_shared,C:\Starry's Stuff\Programming\ultralytics\yolo_tsf\_OUTPUTS\etth1_patchtst_M_w336_h336_band5-25-70_baseline_models-YOLO11-Forecast-PatchTST--Supervised-v2---Backbone---Neck_shared_reference
v2 - Backbone + Neck,11,3.1935602029164634,1.3484118382136028,1.3484118382136028,0.5587236086527506,0.5036545395851135,0.5587236086527506,0.5036545395851135,0.09660660475492477,0.24409147103627524,8.13504695892334,2.239903132120768,1.3447959423065186,0.8365056117375692,0.018277398582389377,0.0040018401856473,0.0040018401856473,0.025183448657599656,0.008483391624418074,0.025183448657599656,0.008483391624418074,0.0016966166004870067,0.002169125774692649,0.14286853915504596,0.019904947772255658,0.03328174059827425,0.0108894186686339,etth1,5-25-70,reused_shared,C:\Starry's Stuff\Programming\ultralytics\yolo_tsf\_OUTPUTS\etth1_patchtst_M_w336_h336_band5-25-70_baseline_models-YOLO11-Forecast-PatchTST--Supervised-v2---Backbone---Neck_shared_reference
Train Mean,0,3.475782871246338,1.6258851289749146,1.6258851289749146,0.7059434652328491,0.57915860414505,0.7059434652328491,0.57915860414505,0.08426706492900848,0.23007982969284058,7.095959186553955,2.11132550239563,1.436833143234253,0.9011635184288025,,,,,,,,,,,,,,etth1,5-25-70,reused_shared,C:\Starry's Stuff\Programming\ultralytics\yolo_tsf\_OUTPUTS\etth1_patchtst_M_w336_h336_band5-25-70_baseline_models-YOLO11-Forecast-PatchTST--Supervised-v2---Backbone---Neck_shared_reference
v5 - Shape-Aware Loss,2,3.182583967844645,1.3244993289311726,1.3244993289311726,0.5175388157367706,0.4915141959985097,0.5175388157367706,0.4915141959985097,0.09296312431494395,0.2407276133696238,7.828236897786458,2.2090347607930503,1.2883658806482952,0.8193873763084412,0.020151633468841787,0.01857331246186044,0.01857331246186044,0.019556839427701322,0.008143528631419804,0.019556839427701322,0.008143528631419804,0.008427907062625148,0.011358949674233471,0.709696488370196,0.10423526978020918,0.047481439140270434,0.0176205191085964,etth1,5-25-70,split_sensitive,C:\Starry's Stuff\Programming\ultralytics\yolo_tsf\_OUTPUTS\etth1_patchtst_M_w336_h336_band5-25-70_models-v5---Shape-Aware-Loss-v6---Temporal-Gating_split_5-25-70
v6 - Temporal Gating,7,3.1506121158599854,1.3165948788324993,1.3165948788324993,0.5309600432713827,0.4936940868695577,0.5309600432713827,0.4936940868695577,0.09522366027037303,0.24377659459908804,8.01859219868978,2.2370137373606362,1.2854045232137044,0.8187772432963053,0.01250536858394769,0.021944569671314106,0.021944569671314106,0.023189206983967516,0.008369850547377026,0.023189206983967516,0.008369850547377026,0.003332098483357151,0.004491586019804746,0.2805895581725494,0.04121700193535166,0.030078129560055428,0.011700158725207837,etth1,5-25-70,split_sensitive,C:\Starry's Stuff\Programming\ultralytics\yolo_tsf\_OUTPUTS\etth1_patchtst_M_w336_h336_band5-25-70_models-v5---Shape-Aware-Loss-v6---Temporal-Gating_split_5-25-70
