model,best_epoch,best_val_loss_norm,best_val_loss_raw,val_mse_patch,test_mse_raw,test_mae_raw,test_mse_patch,test_mae_patch,test_mse_ot_patch,test_mae_ot_patch,test_mse_ot_raw,test_mae_ot_raw,test_mse_norm,test_mae_norm,best_val_loss_norm_std,best_val_loss_raw_std,val_mse_patch_std,test_mse_raw_std,test_mae_raw_std,test_mse_patch_std,test_mae_patch_std,test_mse_ot_patch_std,test_mae_ot_patch_std,test_mse_ot_raw_std,test_mae_ot_raw_std,test_mse_norm_std,test_mae_norm_std
Train Mean,0,1.101791262626648,0.6694612503051758,0.6694612503051758,4.324861526489258,1.5132479667663574,4.324861526489258,1.5132479667663574,2.2194454669952393,1.3022428750991821,116194263040.0,297962.8125,2.8459043502807617,1.2736948728561401,,,,,,,,,,,,,
YOLO11 Forecast,92,0.4585608333349228,0.27990089133381846,0.27990089133381846,1.781963962316513,0.8764557361602783,1.781963962316513,0.8764557361602783,0.8284552961587905,0.7490632593631744,43371984281.6,171391.23828125,1.080889391899109,0.7220577627420426,0.022428813494692886,0.017954350630348226,0.017954350630348226,0.08219628989047308,0.02905901302721096,0.08219628989047308,0.02905901302721096,0.049525724207750046,0.031634015960836114,2592812397.6761837,7238.097310709067,0.04632150700841882,0.022942598239881134
PatchTST (Supervised),5,0.22421507760882378,0.22421507760882378,0.22421507760882378,1.7946854829788208,0.9064196795225143,1.7946854829788208,0.9064196795225143,1.027621904015541,0.9031529486179352,53798922854.4,206648.09765625,1.7946854829788208,0.9064196795225143,0.010309244681103414,0.010309244681103414,0.010309244681103414,0.14618770067634068,0.04319627863831936,0.14618770067634068,0.04319627863831936,0.10664409666331097,0.0610267369850571,5583122685.785698,13963.365610760096,0.14618770067634068,0.04319627863831936
v2 - Backbone + Neck,27,0.6287306010723114,0.3937500536441803,0.3937500536441803,2.2299175024032594,0.9663192003965377,2.2299175024032594,0.9663192003965377,0.7512865692377091,0.6603548109531403,39331982131.2,151094.08046875,1.1811360001564026,0.765335202217102,0.055489471268985915,0.0365598905433723,0.0365598905433723,0.2830305674062468,0.05873317032650829,0.2830305674062468,0.05873317032650829,0.04919330681369273,0.03616335568295913,2575408973.1585617,8274.441096609584,0.09228916175066082,0.03584682784793823
v5 - Shape-Aware Loss,64,0.5070631206035614,0.29788016676902773,0.29788016676902773,1.997686904668808,0.928695896267891,1.997686904668808,0.928695896267891,0.7538073986768723,0.665431210398674,39463952588.8,152255.6046875,1.1256500661373139,0.7439022600650788,0.05182960603620743,0.03510069308710377,0.03510069308710377,0.16843566553592262,0.043455347685245276,0.16843566553592262,0.043455347685245276,0.04682196341237538,0.03304098966502775,2451262500.7440033,7560.023231795366,0.06217510822351745,0.029212797620394235
