model,best_epoch,best_val_loss_norm,best_val_loss_raw,val_mse_patch,test_mse_raw,test_mae_raw,test_mse_patch,test_mae_patch,test_mse_ot_patch,test_mae_ot_patch,test_mse_ot_raw,test_mae_ot_raw,test_mse_norm,test_mae_norm,best_val_loss_norm_std,best_val_loss_raw_std,val_mse_patch_std,test_mse_raw_std,test_mae_raw_std,test_mse_patch_std,test_mae_patch_std,test_mse_ot_patch_std,test_mae_ot_patch_std,test_mse_ot_raw_std,test_mae_ot_raw_std,test_mse_norm_std,test_mae_norm_std
Train Mean,0,1.959977626800537,1.3438234329223633,1.3438234329223633,0.7060436606407166,0.5673490166664124,0.7060436606407166,0.5673490166664124,0.07518713921308517,0.2128589004278183,6.331357479095459,1.953297734260559,1.3566608428955078,0.8750167489051819,,,,,,,,,,,,,
YOLO11 Forecast,1,1.3644108176231384,0.7639902889728546,0.7639902889728546,0.4575002551078796,0.4497171461582184,0.4575002551078796,0.4497171461582184,0.05701267421245575,0.1826380267739296,4.8009223461151125,1.6759761452674866,1.005202230811119,0.7186646729707717,0.027293246441375037,0.022193247440990018,0.022193247440990018,0.02327392061558036,0.011676414906309952,0.02327392061558036,0.011676414906309952,0.002152251484741759,0.004167808312791481,0.18123671249506618,0.03824584133350032,0.028500307369538756,0.01269149867026783
PatchTST (Supervised),37,0.6606872946023941,0.6606872946023941,0.6606872946023941,0.37143429219722746,0.3951991379261017,0.37143429219722746,0.3951991379261017,0.052124110795557496,0.17217664867639543,4.389266300201416,1.5799774169921874,0.37143429219722746,0.3951991379261017,0.0024981778888865957,0.0024981778888865957,0.0024981778888865957,0.0012008589075951216,0.0010710106818452255,0.0012008589075951216,0.0010710106818452255,0.00020626562854789287,0.000524037508013918,0.017369210805965336,0.004808814578667835,0.0012008589075951216,0.0010710106818452255
v2 - Backbone + Neck,3,1.3795038759708405,0.7485465735197068,0.7485465735197068,0.47936104238033295,0.4707582876086235,0.47936104238033295,0.4707582876086235,0.05597210247069597,0.18099100142717361,4.713297915458679,1.6608622312545775,1.0565565705299378,0.746270951628685,0.01509447361035605,0.011352133743484006,0.011352133743484006,0.017321851114378208,0.007149202584306771,0.017321851114378208,0.007149202584306771,0.0021211275973406435,0.004134100486296614,0.17861572532693312,0.0379365118540356,0.01994247610439788,0.007329867525151826
v5 - Shape-Aware Loss,3,1.3541946172714234,0.7311729371547699,0.7311729371547699,0.4619185909628868,0.45887994170188906,0.4619185909628868,0.45887994170188906,0.053521780483424666,0.17524200081825256,4.506961154937744,1.6081066071987151,1.0345440089702607,0.7326477110385895,0.013306392103983345,0.0092193843132169,0.0092193843132169,0.012443343543017894,0.005965545693883378,0.012443343543017894,0.005965545693883378,0.0008224324765805728,0.0016801065315784174,0.06925550319408057,0.015417482689262648,0.018254045757394043,0.0069012316486020756
