model,best_val_loss_norm,best_val_loss_norm_std,best_val_loss_raw,best_val_loss_raw_std,val_mse_patch,val_mse_patch_std,test_mse_raw,test_mse_raw_std,test_mae_raw,test_mae_raw_std,test_mse_patch,test_mse_patch_std,test_mae_patch,test_mae_patch_std,test_mse_ot_patch,test_mse_ot_patch_std,test_mae_ot_patch,test_mae_ot_patch_std,test_mse_ot_raw,test_mse_ot_raw_std,test_mae_ot_raw,test_mae_ot_raw_std,test_mse_norm,test_mse_norm_std,test_mae_norm,test_mae_norm_std,best_epoch
v5 - Shape-Aware Loss,3.182583967844645,0.020151633468841787,1.3244993289311726,0.01857331246186044,1.3244993289311726,0.01857331246186044,0.5175388157367706,0.019556839427701322,0.4915141959985097,0.008143528631419804,0.5175388157367706,0.019556839427701322,0.4915141959985097,0.008143528631419804,0.09296312431494395,0.008427907062625148,0.2407276133696238,0.011358949674233471,7.828236897786458,0.709696488370196,2.2090347607930503,0.10423526978020918,1.2883658806482952,0.047481439140270434,0.8193873763084412,0.0176205191085964,2
v6 - Temporal Gating,3.1506121158599854,0.01250536858394769,1.3165948788324993,0.021944569671314106,1.3165948788324993,0.021944569671314106,0.5309600432713827,0.023189206983967516,0.4936940868695577,0.008369850547377026,0.5309600432713827,0.023189206983967516,0.4936940868695577,0.008369850547377026,0.09522366027037303,0.003332098483357151,0.24377659459908804,0.004491586019804746,8.01859219868978,0.2805895581725494,2.2370137373606362,0.04121700193535166,1.2854045232137044,0.030078129560055428,0.8187772432963053,0.011700158725207837,7
