model,best_epoch,best_val_loss_norm,best_val_loss_raw,val_mse_patch,test_mse_raw,test_mae_raw,test_mse_patch,test_mae_patch,test_mse_ot_patch,test_mae_ot_patch,test_mse_ot_raw,test_mae_ot_raw,test_mse_norm,test_mae_norm,best_val_loss_norm_std,best_val_loss_raw_std,val_mse_patch_std,test_mse_raw_std,test_mae_raw_std,test_mse_patch_std,test_mae_patch_std,test_mse_ot_patch_std,test_mae_ot_patch_std,test_mse_ot_raw_std,test_mae_ot_raw_std,test_mse_norm_std,test_mae_norm_std
Train Mean,0,1.0696946382522583,0.6542742848396301,0.6542742848396301,4.166421413421631,1.492563009262085,4.166421413421631,1.492563009262085,1.9501123428344727,1.2134900093078613,102093905920.0,277655.5625,2.5815277099609375,1.2103817462921143,,,,,,,,,,,,,
YOLO11 Forecast,42,0.4354375064373016,0.27148436903953554,0.27148436903953554,1.8248745203018188,0.8871144771575927,1.8248745203018188,0.8871144771575927,0.9677786111831665,0.7582912445068359,50665954508.8,173502.665625,1.0388974785804748,0.7012920498847961,0.009208635937918114,0.005609926708781025,0.005609926708781025,0.09155932983521317,0.03244522750291216,0.09155932983521317,0.03244522750291216,0.06770531711602487,0.03436019147665232,3544562260.588011,7861.870930136725,0.0476183892528553,0.02289067024207379
Linear (Direct),18,0.3918297588825226,0.2753336250782013,0.2753336250782013,1.7465017080307006,0.8731489181518555,1.7465017080307006,0.8731489181518555,0.8415003538131713,0.8076777338981629,44054928588.8,184802.671875,1.0182232141494751,0.711699903011322,0.0009805535537869686,0.0006748484342082761,0.0006748484342082761,0.0035347743966853457,0.000901612862251804,0.0035347743966853457,0.000901612862251804,0.0013602650165928736,0.000976547984647722,71214520.53699845,223.44214964567732,0.0015720064144343474,0.0007039711758567089
PatchTST (Supervised),5,0.20921877920627593,0.20921877920627593,0.20921878516674042,1.762006163597107,0.8968295574188232,1.762006163597107,0.8968295574188232,0.9675343275070191,0.8562875270843506,50653165977.6,195924.9375,1.762006163597107,0.8968295574188232,0.017489103576460205,0.017489103576460205,0.017489108845030073,0.12394179372894508,0.04727086757358754,0.12394179372894508,0.04727086757358754,0.07548503504044908,0.029578664443559045,3951855045.7388525,6767.809887954314,0.12394179372894508,0.04727086757358754
v5 - Shape-Aware Loss,49,0.8133928894996643,0.47768869400024416,0.47768869400024416,2.982923889160156,1.2164032936096192,2.982923889160156,1.2164032936096192,1.0940836668014526,0.800360918045044,57278380441.6,183128.5125,1.61495099067688,0.9349390387535095,0.018902730274815812,0.01380846321264212,0.01380846321264212,0.09378227630422999,0.02637409809989825,0.09378227630422999,0.02637409809989825,0.059717978069972144,0.018632814350758857,3126404622.8565917,4263.3285694002125,0.039842850144411905,0.01623195312407122
v6 - Temporal Gating,40,0.35726438164711,0.24493958353996276,0.24493958353996276,1.7225926160812377,0.8794459581375123,1.7225926160812377,0.8794459581375123,0.9401881694793701,0.860426151752472,49221516492.8,196871.8875,1.0632866382598878,0.7275866866111755,0.002418588192921783,0.0018131457913312728,0.0018131457913312728,0.006946761337239264,0.0027809993503961784,0.006946761337239264,0.0027809993503961784,0.009148039268856496,0.005134331412578685,478926284.0924389,1174.7689871144614,0.0024345444261385965,0.0015589599264348825
